index,x,y,dx,dy
0,-115.4209976,35.7986984,0.0200043,0.0085983
1,-115.4020004,35.8036995,0.0189972,0.0135994
2,-115.3830032,35.8096008,0.0189972,0.0195007
3,-115.3659973,35.8166008,0.0170059,0.0265007
4,-115.3519974,35.8250999,0.012001,0.0349998
5,-115.3410034,35.8333015,0.0039978,0.0432014
6,-115.336998,35.8308983,-0.0110016,0.0407982
7,-115.322998,35.8195,-0.0159988,0.0293999
8,-115.3059998,35.8139,-0.0179977,0.0237999
9,-115.2890015,35.8121986,-0.0200043,0.0220985
10,-115.2779999,35.8115005,-0.0289993,0.0214005
11,-115.2580032,35.8012009,-0.0279999,0.0111008
12,-115.2360001,35.7958984,-0.0250015,0.0057983
13,-115.2149963,35.7927017,-0.022995,0.0026016
14,-115.1940002,35.7905998,-0.0210037,0.0004997
15,-115.1729965,35.7891998,-0.0189972,-0.0009003
16,-115.1520004,35.7882004,-0.0169983,-0.0018997
17,-115.1320038,35.7876015,-0.0160065,-0.0024986
18,-115.1119995,35.7873001,-0.0159988,-0.0028
19,-115.0920029,35.7871017,-0.0149994,-0.0029983
20,-115.0719986,35.7868996,-0.0139999,-0.0032005
21,-115.0530014,35.7867012,-0.0139999,-0.0033989
22,-115.0329971,35.786499,-0.0130005,-0.0036011
23,-115.0130005,35.7863007,-0.012001,-0.0037994
24,-114.9940033,35.7859993,-0.012001,-0.0041008
25,-114.973999,35.7858009,-0.0110016,-0.0042992
26,-114.9540024,35.7854996,-0.0110016,-0.0046005
27,-114.9339981,35.7854004,-0.0099945,-0.0046997
28,-114.9150009,35.7853012,-0.0100021,-0.0047989
29,-114.8949966,35.7851982,-0.0089951,-0.0049019
30,-115.4150009,35.8171005,0.026001,0.0084992
31,-115.3939972,35.8237991,0.0270004,0.0151978
32,-115.3740005,35.8325996,0.0279999,0.0239983
33,-115.3560028,35.8440018,0.0270004,0.0354004
34,-115.3479996,35.8434982,0.0159988,0.0348969
35,-115.3420029,35.8418999,0.0029983,0.0332985
36,-115.336998,35.8415985,-0.0110016,0.0329971
37,-115.3310013,35.8420982,-0.0240021,0.0334969
38,-115.3099976,35.8338013,-0.0219955,0.0251999
39,-115.2929993,35.8300018,-0.0240021,0.0214005
40,-115.2839966,35.8249016,-0.034996,0.0163002
41,-115.2649994,35.8176003,-0.034996,0.0089989
42,-115.2399979,35.8123016,-0.0289993,0.0037003
43,-115.2180023,35.8092003,-0.026001,0.0005989
44,-115.1959991,35.8072014,-0.0230026,-0.0014
45,-115.1740036,35.8059998,-0.0200043,-0.0026016
46,-115.1529999,35.8051987,-0.0179977,-0.0034027
47,-115.1330032,35.8049011,-0.0170059,-0.0037003
48,-115.1119995,35.8046989,-0.0159988,-0.0039024
49,-115.0920029,35.8046989,-0.0149994,-0.0039024
50,-115.0719986,35.8046989,-0.0139999,-0.0039024
51,-115.0530014,35.8045998,-0.0139999,-0.0040016
52,-115.0329971,35.8044014,-0.0130005,-0.0042
53,-115.0139999,35.8041992,-0.0130005,-0.0044022
54,-114.9940033,35.8037987,-0.012001,-0.0048027
55,-114.973999,35.8035011,-0.0110016,-0.0051002
56,-114.9540024,35.803299,-0.0110016,-0.0053024
57,-114.9349976,35.8031006,-0.010994,-0.0055008
58,-114.9150009,35.8030014,-0.0100021,-0.0056
59,-114.8949966,35.8028984,-0.0089951,-0.005703
60,-115.4069977,35.8348999,0.0340042,0.0078011
61,-115.3820038,35.8446007,0.0389938,0.0175018
62,-115.3649979,35.8513985,0.0370026,0.0242996
63,-115.3560028,35.850399,0.0270004,0.0233002
64,-115.348999,35.8493996,0.0149994,0.0223007
65,-115.3430023,35.8488007,0.0019989,0.0217018
66,-115.336998,35.8492012,-0.0110016,0.0221024
67,-115.3300018,35.8511009,-0.0230026,0.0240021
68,-115.3150024,35.8504982,-0.0270004,0.0233994
69,-115.3010025,35.8428993,-0.0320053,0.0158005
70,-115.2919998,35.8372002,-0.0429993,0.0101013
71,-115.2689972,35.8316002,-0.0389938,0.0045013
72,-115.2440033,35.8275986,-0.0330048,0.0004997
73,-115.2200012,35.8249016,-0.0279999,-0.0021973
74,-115.1969986,35.8232994,-0.0240021,-0.0037994
75,-115.1750031,35.8223,-0.0210037,-0.0047989
76,-115.1539993,35.8218994,-0.0189972,-0.0051994
77,-115.1330032,35.8218994,-0.0170059,-0.0051994
78,-115.1119995,35.8221016,-0.0159988,-0.0049973
79,-115.0920029,35.8223991,-0.0149994,-0.0046997
80,-115.0719986,35.8226013,-0.0139999,-0.0044975
81,-115.0530014,35.8226013,-0.0139999,-0.0044975
82,-115.0339966,35.8223991,-0.0139999,-0.0046997
83,-115.0139999,35.8221016,-0.0130005,-0.0049973
84,-114.9950027,35.8216019,-0.0130005,-0.005497
85,-114.9749985,35.8212013,-0.012001,-0.0058975
86,-114.9550018,35.8209,-0.012001,-0.0061989
87,-114.9349976,35.8207016,-0.010994,-0.0063973
88,-114.9150009,35.8205986,-0.0100021,-0.0065002
89,-114.8949966,35.8205986,-0.0089951,-0.0065002
90,-115.3909988,35.8515015,0.0500031,0.0059013
91,-115.375,35.8554001,0.0459976,0.0098
92,-115.3659973,35.8557014,0.0360031,0.0101013
93,-115.3570023,35.8554001,0.026001,0.0098
94,-115.3499985,35.8549004,0.0139999,0.0093002
95,-115.3420029,35.8546982,0.0029983,0.0090981
96,-115.3349991,35.8552017,-0.0090027,0.0096016
97,-115.3270035,35.8563004,-0.0200043,0.0107002
98,-115.3180008,35.8569984,-0.0299988,0.0113983
99,-115.3089981,35.8549004,-0.0400009,0.0093002
100,-115.2990036,35.8498001,-0.0500031,0.0042
101,-115.2730026,35.8454018,-0.0429993,-0.0001984
102,-115.2470016,35.8420982,-0.0360031,-0.0035019
103,-115.2220001,35.8400002,-0.0299988,-0.0056
104,-115.1989975,35.8387985,-0.026001,-0.0068016
105,-115.1760025,35.8381996,-0.0220032,-0.0074005
106,-115.1539993,35.8381996,-0.0189972,-0.0074005
107,-115.1320038,35.8386002,-0.0160065,-0.007
108,-115.1119995,35.8394012,-0.0159988,-0.0061989
109,-115.0920029,35.8400993,-0.0149994,-0.0055008
110,-115.0719986,35.8406982,-0.0139999,-0.0049019
111,-115.0530014,35.8409004,-0.0139999,-0.0046997
112,-115.0339966,35.8406982,-0.0139999,-0.0049019
113,-115.0149994,35.8400993,-0.0139999,-0.0055008
114,-114.9950027,35.8394012,-0.0130005,-0.0061989
115,-114.9749985,35.8387985,-0.012001,-0.0068016
116,-114.9550018,35.8384018,-0.012001,-0.0071983
117,-114.9349976,35.8381996,-0.010994,-0.0074005
118,-114.9150009,35.8381004,-0.0100021,-0.0074997
119,-114.8949966,35.8381004,-0.0089951,-0.0074997
120,-115.3860016,35.8571014,0.0550003,-0.0070992
121,-115.3740005,35.8597984,0.0469971,-0.0044022
122,-115.3659973,35.8602982,0.0360031,-0.0039024
123,-115.3580017,35.860199,0.0250015,-0.0040016
124,-115.3499985,35.8600006,0.0139999,-0.0042
125,-115.3420029,35.8600006,0.0029983,-0.0042
126,-115.3339996,35.8602982,-0.0080032,-0.0039024
127,-115.3259964,35.8610001,-0.0189972,-0.0032005
128,-115.3180008,35.8614998,-0.0299988,-0.0027008
129,-115.310997,35.8619003,-0.0419998,-0.0023003
130,-115.3040009,35.8634987,-0.0550003,-0.0007019
131,-115.2789993,35.8591995,-0.048996,-0.0050011
132,-115.25,35.8558006,-0.0390015,-0.0084
133,-115.223999,35.8544006,-0.0319977,-0.0098
134,-115.1999969,35.8538017,-0.0270004,-0.0103989
