zip,avg01,avg06,avg12,avg18
89108,125058.3333,255783.3333,79358.33333,216975
89121,131250,261658.3333,82733.33333,217241.6667
89117,188416.6667,405433.3333,180716.6667,347041.6667
89052,237191.6667,495916.6667,250100,418333.3333
89031,142383.3333,297825,107558.3333,246991.6667
89123,169900,362275,153500,306450
89110,123516.6667,245316.6667,71025,202733.3333
89148,172258.3333,379025,163066.6667,305800
89074,170916.6667,362441.6667,159408.3333,315858.3333
89103,141108.3333,298816.6667,114358.3333,258050
89147,153891.6667,328108.3333,137216.6667,275691.6667
89119,135558.3333,282708.3333,95166.66667,241400
89129,168958.3333,348075,140458.3333,288725
89122,137991.6667,269950,95141.66667,219458.3333
89115,117033.3333,231941.6667,63683.33333,182858.3333
89014,160858.3333,335975,139675,292791.6667
89131,190875,412491.6667,173550,338866.6667
89128,157258.3333,333558.3333,137441.6667,285333.3333
89015,139466.6667,288708.3333,111375,254475
89012,188158.3333,389358.3333,182608.3333,346033.3333
89149,178716.6667,381575,153841.6667,308983.3333
89104,124200,251600,73050,215283.3333
89032,137575,277750,98000,235025
89139,162300,358016.6667,148816.6667,289008.3333
89102,130266.6667,268491.6667,87933.33333,228875
89178,172341.6667,361200,161483.3333,296066.6667
89183,154516.6667,328908.3333,131833.3333,274166.6667
89113,176175,386066.6667,170125,310208.3333
89135,225125,495308.3333,250175,421350
89002,166208.3333,353433.3333,148641.6667,304883.3333
89107,118791.6667,240541.6667,70233.33333,205850
89130,158075,328608.3333,130425,276500
89081,148875,320983.3333,121258.3333,256650
89134,186750,345516.6667,171733.3333,323658.3333
89011,152000,325291.6667,138733.3333,268975
89141,182775,400225,172450,319466.6667
89142,131858.3333,270325,83083.33333,216841.6667
89084,166166.6667,362133.3333,154616.6667,300158.3333
89145,135400,283041.6667,108750,249825
89044,237100,389716.6667,211400,352300
89120,150291.6667,311558.3333,120583.3333,268225
89156,129825,264591.6667,83216.66667,211441.6667
89166,180275,369216.6667,168541.6667,290383.3333
89118,155133.3333,330766.6667,132600,275833.3333
89144,185141.6667,402375,191341.6667,359708.3333
89027,151425,280941.6667,157641.6667,238833.3333
89146,179658.3333,382383.3333,160233.3333,322491.6667
89138,231783.3333,523333.3333,250458.3333,445391.6667
89005,178625,353266.6667,180700,317316.6667
89029,143958.3333,272950,133400,187608.3333
89143,163500,350375,139550,282858.3333
89179,172066.6667,373125,175750,307808.3333
89086,168525,362125,137941.6667,281033.3333
89040,137008.3333,261433.3333,115000,213216.6667
89034,196950,347533.3333,235716.6667,330116.6667
89085,191916.6667,416716.6667,186600,328591.6667
89021,184625,378208.3333,166933.3333,306866.6667
89124,283675,444283.3333,196783.3333,354525
89155,207116.6667,447491.6667,205650,355800
